		date	recorded_animal	partner_animal	lever1	lever2	followerscore1	followerscore2	G1_total	G2_total	follower_1s	follower_.5s	FOLLOWER
1	0	20240531	dodson 	ginger	Dodson	Ginger	0.14	0.0561713599702301	0.9332058733242592	0.5195635470482307	0.08382864002976992	-0.010000000000000002	Dodson
2	1	20240603_MC	dodson 	ginger	Ginger	Dodson	0.0	0.1	1.8547020073632852	1.516757564477131	-0.1	0.0	Dodson
3	2	20240604	dodson 	ginger	Dodson	Ginger	0.14	0.0647415463421492	0.3633780908238362	0.3930414321669939	0.07525845365785082	0.340554074312575	Dodson
4	3	20240605_MC	dodson 	ginger	Ginger	Dodson	0.0	0.0	1.1719418394433554	0.805955228997512	0.0	0.0	Ginger
5	4	20240606_MC	dodson 	ginger	Dodson	Ginger	0.4100000000000001	0.0	0.321243367085703	0.4996641192087229	0.4100000000000001	0.3841284171239476	Dodson
6	5	20240612	dodson 	ginger	Dodson	Ginger	0.0	0.0	0.39	0.747299999181582	0.0	0.036229089473413	Ginger
7	6	20250129	dodson 	ginger	Dodson	Ginger	0.0	0.0	0.0	0.0	0.0	0.0	
8	7	20250131	dodson 	ginger	Ginger	Dodson	0.0	0.0	0.0	0.0	0.0	0.0	
9	8	20250211	dodson 	koala	Dodson	Koala	0.0	0.0	0.0	0.0	0.0	0.0	
10	9	20250214	dodson 	koala	Dodson	Koala	0.0	0.0	0.6645555728546376	0.7911163799928106	0.0	0.0	Koala
11	10	20250218	dodson 	koala	Koala	Dodson	0.1133174781961371	0.4199999999999999	1.228524196513331	0.0	-0.3066825218038628	-0.08538285490720118	Dodson
12	11	20250220	dodson 	koala	Dodson	Koala	0.0	0.0	1.1947792019960333	0.354779201996033	0.0	0.0	Dodson
13	12	20250226	dodson 	koala	Dodson	Koala	0.0	0.0	0.0	0.0	0.0	0.0	
14	13	20250305	dodson 	koala	Koala	Dodson	0.1048998895880827	0.3	1.549026735208324	0.19	-0.19510011041191727	-0.04	Dodson
15	14	20250310	dodson 	koala	Koala	Dodson	0.0	0.0416011049803832	0.6273530452329839	1.0683475536190614	-0.0416011049803832	0.2223013302508258	Koala
16	15	20250401	dodson 	kanga	Dodson	Kanga	0.03	0.0	0.5846632271742984	0.3817754838468126	0.03	0.11170765292647328	Dodson
17	16	20250402	dodson 	kanga	Kanga	Dodson	0.0	0.0	1.632034450902304	1.6420344509023037	0.0	0.0	Dodson
18	17	20250403	dodson 	kanga	Dodson	Kanga	0.0	0.0	1.360732976876271	2.3121894163883474	0.0	0.0	Kanga
19	18	20250409	dodson 	kanga	Dodson	Kanga	0.0	0.0	0.4100000000000001	0.3618955451237138	0.0	0.0	Dodson
20	19	20250415	dodson 	kanga	Dodson	Kanga	0.0	0.2634181008207011	0.8709918555684664	1.703480924745158	-0.2634181008207011	-0.1182901487433684	Kanga
21	20	20250417	dodson 	kanga	Kanga	Dodson	0.1995119958530416	0.0	1.902221766547477	0.6306468887427477	0.1995119958530416	0.0	Kanga
22	21	20250422	dodson 	kanga	Dodson	Kanga	0.0	0.0	1.0860456610933868	1.3460456610933869	0.0	-0.3096323252540964	Kanga
23	22	20250423	dodson 	kanga	Kanga	Dodson	0.0	0.0	0.2597877730905407	0.8974718876565575	0.0	0.0	Dodson
24	23	20250428_MC	dodson 	kanga	Dodson	Kanga	0.0	0.0	1.5089070800446098	1.0850260014109083	0.0	0.0	Dodson
25	24	20250429_MC	dodson 	kanga	Kanga	Dodson	0.0	0.0	2.240367825882447	0.0996634829665083	0.0	0.0	Kanga
26	25	20240509	kanga 	dannon	Kanga	Dannon	0.0	0.0	3.4915499977674997	1.7418836344174524	0.0	0.43	Kanga
27	26	20240513	kanga 	dannon	Kanga	Dannon	0.258914634061324	0.0	2.142584526230849	0.0075373909684968	0.258914634061324	0.0	Kanga
28	27	20240523	kanga 	dannon	Dannon	Kanga	0.48	0.0182940871829708	1.7227956469133403	1.8923944761512448	0.46170591281702916	0.3743659172099365	Dannon
29	28	20240606	kanga 	dannon	Dodson	Ginger	0.0	0.2099999999999999	1.454639016928054	0.9998628336947808	-0.2099999999999999	-0.04	Ginger
30	29	20240808	kanga 	ginger	Kanga	Ginger	0.3459990887797815	0.04	1.0718292849167024	1.5056784809622243	0.30599908877978155	-0.1	Kanga
31	30	20240809	kanga 	ginger	Ginger	Kanga	0.0	0.0126506542591214	1.113835386328667	0.6929570561841063	-0.0126506542591214	-0.07	Kanga
32	31	20240812	kanga 	ginger	Kanga	Ginger	0.0460738868606513	0.0	0.3695410565359058	0.0	0.0460738868606513	0.0	Kanga
33	32	20240813	kanga 	koala	Kanga	Koala	0.0	0.04	0.2594577985016724	0.3794577985016724	-0.04	0.0	Koala
34	33	20240814	kanga 	koala	Koala	Kanga	0.0209501229632806	0.07	1.8416082638706768	0.9623343445338124	-0.04904987703671941	0.0	Koala
35	34	20240815	kanga 	koala	Kanga	Koala	0.0223945581183975	0.4199999999999999	0.6635641507081539	0.6328581593881091	-0.39760544188160235	-0.058419524791107236	Koala
36	35	20240819	kanga 	vermelho	Kanga	Vermelho	0.0	0.0	1.2661767126737606	0.4161767126737604	0.0	0.0	Kanga
37	36	20240821	kanga 	vermelho	Vermelho	Kanga	0.0	0.6135430959348276	0.0	1.2200000000000002	-0.6135430959348276	-0.04	Kanga
38	37	20240822	kanga 	vermelho	Kanga	Vermelho	0.1644106548491018	0.0750355050511495	2.4153469162938017	0.7153469162938015	0.0893751497979523	0.3365010750756796	Kanga
39	38	20250415	kanga 	dodson	Dodson	Kanga	0.0	0.2634181008207011	0.8709918555684664	1.703480924745158	-0.2634181008207011	-0.1182901487433684	Kanga
40	39	20250417	kanga 	dodson	Kanga	Dodson	0.1995119958530416	0.0	1.902221766547477	0.6306468887427477	0.1995119958530416	0.0	Kanga
41	40	20250422	kanga 	dodson	Dodson	Kanga	0.0	0.0	1.0860456610933868	1.3460456610933869	0.0	-0.3096323252540964	Kanga
42	41	20250423	kanga 	dodson	Kanga	Dodson	0.0	0.0	0.2597877730905407	0.8974718876565575	0.0	0.0	Dodson
43	42	20250424_MC	kanga 	dodson	Kanga	Dodson	0.0	0.0	1.0351915297285057	1.277815113650809	0.0	0.0	Dodson
44	43	20250428_MC	kanga 	dodson	Dodson	Kanga	0.0	0.0	1.5089070800446098	1.0850260014109083	0.0	0.0	Dodson
45	44	20250429_MC	kanga 	dodson	Kanga	Dodson	0.0	0.0	2.240367825882447	0.0996634829665083	0.0	0.0	Kanga
46	45	20250430_MC	kanga 	dodson	Dodson	Kanga	0.03	0.0	1.5213093032366531	2.15574741084474	0.03	-0.3119458882428455	Kanga
