	date	recorded_animal	role
1	20240531	dodson	follower
2	20240603_MC	dodson	follower
3	20240604	dodson	follower
4	20240605_MC	dodson	leader
5	20240606_MC	dodson	follower
6	20250218	dodson	follower
7	20250220	dodson	follower
8	20250305	dodson	follower
9	20250310	dodson	leader
10	20250401	dodson	follower
11	20250402	dodson	follower
12	20250403	dodson	leader
13	20250409	dodson	follower
14	20250415	dodson	leader
15	20250417	dodson	leader
16	20250422	dodson	leader
17	20250423	dodson	follower
18	20250428_MC	dodson	follower
19	20240509	kanga	follower
20	20240513	kanga	follower
21	20240523	kanga	leader
22	20240606	kanga	leader
23	20240808	kanga	follower
24	20240812	kanga	follower
25	20240813	kanga	leader
26	20240814	kanga	leader
27	20240815	kanga	leader
28	20240819	kanga	follower
29	20240821	kanga	follower
30	20240822	kanga	follower
31	20250415	kanga	follower
32	20250417	kanga	follower
33	20250422	kanga	follower
34	20250423	kanga	leader
35	20250428_MC	kanga	leader
36	20250429_MC	kanga	follower
37	20250430_MC	kanga	follower
