date,recorded_animal,task_condition,succ_rate,neuron_num,follower_percentage,role,selfvspartner_pullnum,self_pullnum,partner_pullnum,selfvspartner_followerPer,r_pathlength,r_netdisplacement,r_tortuosity,r_meanspeed,r_meancurvature,r_radiusofgyration,r_convexhullvolume,r_anglespannet,r_anglespantotal
20240531,dodson,MC,0.6463414634146342,12,0.6060606060606061,follower,0.673469387755102,66.0,98.0,2.0480668756530824,-0.10869721928916623,-0.36529275307492104,0.33468565179539655,-0.10869721928916623,-0.01416328608228977,-0.19713373780976876,-0.25918813530590273,-0.1534916122206115,0.16647862539098227
20240603_MC,dodson,MC,0.5979381443298969,7,0.631578947368421,follower,0.6440677966101694,76.0,118.0,2.191950464396285,-0.07452514931047725,0.1943373452523499,-0.24396386697723435,-0.07452514931047725,0.009020417079580486,-0.08067155337732074,0.004680941986091451,0.2106708449484988,0.06446610376589776
20240604,dodson,MC,0.5853658536585366,14,0.5952380952380952,follower,0.6942148760330579,84.0,121.0,1.565734989648033,0.12193144704077542,0.07332437617186834,-0.017585219411578167,0.12193144704077542,-0.0245104203687074,0.07404302910138175,0.16392908869430914,-0.09112736919845058,-0.07836583535921242
20240605_MC,dodson,MC,0.46938775510204084,13,0.42857142857142855,leader,1.0,49.0,49.0,0.75,0.04960069479258978,0.07184956611930701,-0.018625775307916943,0.04960069479258978,-0.1724287527820585,0.041895237062465236,0.027913148201179638,0.1357385269015317,-0.0872604815795561
20240606_MC,dodson,MC,0.5844155844155844,13,0.5970149253731343,follower,0.7701149425287356,67.0,87.0,2.1641791044776117,0.1579436495067701,-0.01708063264100184,0.055104877187779774,0.1579436495067701,-0.06959626967293293,0.19083117567984817,0.12484731364370415,-0.04978023009309094,-0.15602260035888232
20240612,dodson,MC,0.609375,9,0.6333333333333333,leader,0.8823529411764706,60.0,68.0,1.5950617283950617,-0.4222521393904641,-0.39028740929917827,0.2607103036451526,-0.4222521393904641,0.15058435220489105,-0.44721445396479476,-0.20096284161854028,0.11985152854714363,0.4346684594969169
20250129,dodson,MC_withGingerNew,0.3870967741935484,42,0.7916666666666666,,0.631578947368421,24.0,38.0,3.0083333333333333,-0.21922577106503188,-0.214441081617184,0.22314051697690748,-0.21922577106503188,0.13049153039585232,-0.4267073043944371,-0.23357983940857566,-0.03262288259896308,0.3101348705741424
20250131,dodson,MC_withGingerNew,0.6666666666666666,26,0.6764705882352942,,,0.0,0.0,2.4159663865546217,0.049828051020279415,0.02048146882428663,0.09965610204055883,0.049828051020279415,0.026442493332847664,0.07092090697364922,0.06205579360194307,-0.16324036346520987,-0.11891479660667911
20250214,dodson,MC_withKoala,0.29333333333333333,9,0.6176470588235294,leader,0.8292682926829268,34.0,41.0,2.110294117647059,-0.125068788412067,-0.21217681553190834,0.16119569650176963,-0.125068788412067,-0.0850907885970661,-0.036860449370711826,-0.0012836972417660836,0.02108931182901423,-0.008802495372110287
20250218,dodson,MC_withKoala,0.6355140186915887,8,0.7058823529411765,follower,0.9107142857142857,51.0,56.0,2.4705882352941178,0.24203269255957305,-0.06091536138444167,0.27998263695148456,0.24203269255957305,0.029317553607485298,0.1600521259904938,0.16558988611635211,-0.23291167588168873,-0.21439818369622116
20250220,dodson,MC_withKoala,0.3466666666666667,16,0.5714285714285714,follower,0.5957446808510638,28.0,47.0,1.492063492063492,0.10619953568728241,-0.1995346946289404,0.24852881031972276,0.10619953568728241,0.12371698487281352,-0.2055563177864667,-0.05966881128821538,-0.2479813900326749,0.24934994075029454
20250305,dodson,MC_withKoala,0.4,28,0.6086956521739131,follower,0.9387755102040817,46.0,49.0,1.8641304347826089,-0.029683427432542746,-0.07029543266091477,-0.015229501960639508,-0.029683427432542746,-0.22146234101096618,0.018402314869106075,-0.13953326101900734,-0.03208066385227304,-0.014312911564860278
20250310,dodson,MC_withKoala,0.45098039215686275,21,0.5471698113207547,leader,1.0816326530612246,53.0,49.0,1.2767295597484276,0.28551300765897625,0.26360958715216376,-0.10708338914441637,0.28551300765897625,-0.04252593922960077,0.30583664929882554,0.28064558087968455,-0.08428333738878706,-0.27684557225374634
20250401,dodson,MC_withKanga,0.7428571428571429,32,0.5128205128205128,follower,1.2580645161290323,39.0,31.0,0.9935897435897435,-0.03237090318312802,-0.09853560639259848,0.10956305692751021,-0.03237090318312802,-0.24378965913740366,0.022529200017561625,0.15758582538599683,-0.009604553691697324,-0.06912907163283383
20250402,dodson,MC_withKanga,0.780952380952381,19,0.4716981132075472,follower,1.0192307692307692,53.0,52.0,1.066447908121411,-0.13713330527942294,0.2861282566411201,-0.31483162922189073,-0.13713330527942294,0.26426117626807255,-0.10625680669884635,0.07710069953478285,0.2953187686819662,0.07465593278500114
20250403,dodson,MC_withKanga,0.7086614173228346,21,0.4915254237288136,leader,0.8676470588235294,59.0,68.0,1.1937046004842615,0.10435698177875355,-0.09535363433117482,0.13969804367525582,0.10435698177875355,0.026308482801366447,0.0658881335936444,0.14177349065180808,-0.05168155288090652,-0.10257385127777206
20250409,dodson,MC_withKanga,0.7866666666666666,20,0.36470588235294116,follower,1.3076923076923077,85.0,65.0,0.5387700534759358,0.01510681923981469,0.05265865552947219,-0.055346178618695646,0.01510681923981469,-0.1651986848907046,0.07386489240537605,0.02694871785170556,0.10514934086586791,-0.08276731263842876
20250415,dodson,MC_withKanga,0.6666666666666666,26,0.24561403508771928,leader,1.1875,57.0,48.0,0.3022941970310391,0.3310370937486131,-0.008136613478484966,0.19661203409565983,0.3310370937486131,-0.07839182649649591,0.27120905346563545,0.22033812549930928,-0.3223192935930935,-0.2604400062146995
