,unique_neuron,pull_encoding,gaze_encoding,juice_encoding,partner_PC1_encoding,recorded_animal
20,20240509_300,None,None,Reactive,Both,kanga
21,20240509_302,Reactive,Reactive,Both,Reactive,kanga
22,20240509_304,None,Reactive,Reactive,Both,kanga
23,20240509_314,Reactive,None,None,Reactive,kanga
24,20240509_324,None,None,None,Reactive,kanga
25,20240509_327,None,None,None,Reactive,kanga
26,20240509_334,None,None,None,Reactive,kanga
27,20240509_336,None,None,None,None,kanga
28,20240509_341,None,None,None,None,kanga
29,20240509_343,None,None,None,None,kanga
30,20240509_349,None,None,None,Reactive,kanga
31,20240509_350,None,None,None,None,kanga
32,20240509_352,None,None,None,None,kanga
33,20240509_354,None,None,None,None,kanga
34,20240513_56,None,None,None,None,kanga
35,20240513_95,None,None,None,None,kanga
36,20240513_141,None,None,None,Both,kanga
37,20240513_142,None,None,None,Both,kanga
38,20240513_251,None,None,None,None,kanga
39,20240513_262,None,None,None,Both,kanga
40,20240513_285,None,None,None,Both,kanga
41,20240513_328,None,None,None,Both,kanga
42,20240513_340,None,None,None,Both,kanga
43,20240513_342,None,None,None,Both,kanga
44,20240513_344,Reactive,Predictive,None,Both,kanga
45,20240513_346,None,None,None,None,kanga
46,20240513_348,None,None,None,None,kanga
47,20240513_350,None,None,None,Reactive,kanga
48,20240513_352,Predictive,None,Predictive,Reactive,kanga
49,20240513_354,None,None,None,None,kanga
50,20240513_356,None,None,None,Reactive,kanga
67,20240523_375,Reactive,Reactive,Reactive,None,kanga
68,20240523_377,Reactive,Reactive,Reactive,None,kanga
69,20240523_379,Reactive,None,Reactive,None,kanga
70,20240523_381,Reactive,Reactive,Reactive,None,kanga
71,20240523_387,Reactive,None,Reactive,None,kanga
72,20240523_390,Reactive,None,None,None,kanga
73,20240523_392,Reactive,None,Reactive,None,kanga
74,20240523_394,Reactive,Reactive,Reactive,Reactive,kanga
75,20240523_396,Reactive,None,Reactive,None,kanga
76,20240523_398,Reactive,None,Reactive,None,kanga
77,20240523_400,None,None,Reactive,None,kanga
78,20240523_402,Reactive,Reactive,Both,Predictive,kanga
79,20240523_404,None,None,None,None,kanga
80,20240523_410,None,None,None,None,kanga
101,20240606_138,Predictive,None,None,Both,kanga
102,20240606_226,None,None,None,None,kanga
103,20240606_292,None,None,None,Reactive,kanga
104,20240606_306,Predictive,Both,None,Both,kanga
105,20240606_307,Predictive,Predictive,None,Both,kanga
106,20240606_309,None,None,Predictive,Both,kanga
107,20240606_311,Predictive,Predictive,None,Both,kanga
108,20240606_313,None,None,None,Reactive,kanga
109,20240606_315,None,Predictive,None,Predictive,kanga
110,20240606_319,None,None,Predictive,Both,kanga
111,20240606_321,None,None,None,Both,kanga
112,20240606_323,None,None,None,Reactive,kanga
113,20240606_325,None,None,Predictive,Both,kanga
114,20240606_327,Reactive,None,None,Both,kanga
115,20240606_329,None,None,None,Reactive,kanga
116,20240606_331,None,None,None,Reactive,kanga
117,20240606_333,None,None,None,Reactive,kanga
118,20240606_335,None,None,None,Reactive,kanga
119,20240606_337,None,None,None,None,kanga
120,20240606_339,None,None,None,Reactive,kanga
121,20240606_341,None,None,None,Reactive,kanga
122,20240606_343,None,None,None,Reactive,kanga
123,20240606_345,None,None,None,Reactive,kanga
124,20240606_347,None,None,None,Reactive,kanga
125,20240606_349,None,None,None,Reactive,kanga
126,20240606_351,None,None,None,None,kanga
353,20240808_8,None,None,None,None,kanga
354,20240808_48,None,None,None,Reactive,kanga
355,20240808_54,None,None,None,Both,kanga
356,20240808_58,None,None,Reactive,Both,kanga
357,20240808_64,None,Reactive,None,Both,kanga
358,20240808_109,None,None,Reactive,Both,kanga
359,20240808_129,None,None,None,Reactive,kanga
360,20240808_137,None,None,None,Reactive,kanga
361,20240808_155,None,None,None,Reactive,kanga
362,20240808_166,None,None,None,None,kanga
363,20240808_173,None,None,None,Both,kanga
364,20240808_207,None,None,None,None,kanga
365,20240808_219,None,None,None,Reactive,kanga
366,20240808_223,Predictive,Predictive,None,Both,kanga
367,20240808_225,None,None,None,None,kanga
368,20240808_250,None,None,None,Reactive,kanga
369,20240808_255,None,Reactive,Reactive,Both,kanga
370,20240808_263,None,None,None,Both,kanga
371,20240808_264,None,None,None,Reactive,kanga
372,20240808_290,Reactive,None,Predictive,Both,kanga
373,20240808_295,None,None,None,Reactive,kanga
374,20240808_303,None,None,None,Both,kanga
375,20240808_304,None,None,None,Reactive,kanga
376,20240808_306,None,None,None,None,kanga
377,20240809_8,Reactive,None,Reactive,None,kanga
378,20240809_49,None,None,None,None,kanga
379,20240809_71,Reactive,Reactive,Reactive,None,kanga
380,20240809_77,Reactive,Reactive,Reactive,None,kanga
381,20240809_140,None,None,None,None,kanga
382,20240809_160,Reactive,None,None,None,kanga
383,20240809_171,Reactive,Reactive,Both,None,kanga
384,20240809_192,Reactive,None,Reactive,None,kanga
385,20240809_201,Reactive,None,Reactive,None,kanga
386,20240809_245,None,None,Reactive,None,kanga
387,20240809_259,None,None,None,None,kanga
388,20240809_274,Reactive,None,Reactive,None,kanga
389,20240809_285,Reactive,None,None,None,kanga
390,20240809_286,None,None,None,None,kanga
391,20240809_297,None,None,Reactive,None,kanga
392,20240809_318,None,None,Reactive,None,kanga
393,20240809_321,Reactive,Reactive,Both,Both,kanga
394,20240809_359,Reactive,None,None,None,kanga
395,20240809_382,Reactive,None,None,None,kanga
396,20240809_386,Reactive,None,Reactive,None,kanga
397,20240809_393,Reactive,None,Reactive,None,kanga
398,20240809_395,Reactive,Reactive,Reactive,None,kanga
399,20240809_397,Reactive,None,Reactive,None,kanga
400,20240809_399,None,Reactive,Reactive,None,kanga
401,20240812_1,None,None,None,Predictive,kanga
402,20240812_56,None,None,None,Reactive,kanga
403,20240812_57,Reactive,Predictive,None,Both,kanga
404,20240812_61,None,Predictive,Predictive,Both,kanga
405,20240812_101,None,None,None,Reactive,kanga
406,20240812_110,None,None,Predictive,Reactive,kanga
407,20240812_124,Reactive,Predictive,Predictive,Reactive,kanga
408,20240812_131,None,Reactive,None,Reactive,kanga
409,20240812_132,None,None,None,Reactive,kanga
410,20240812_147,None,None,None,Reactive,kanga
411,20240812_160,None,None,None,None,kanga
412,20240812_165,None,None,None,Reactive,kanga
413,20240812_211,None,None,None,None,kanga
414,20240812_216,None,None,None,Both,kanga
415,20240812_222,None,None,None,None,kanga
416,20240812_223,None,None,None,Reactive,kanga
417,20240812_234,None,None,None,Reactive,kanga
418,20240812_241,None,None,None,Reactive,kanga
419,20240812_251,Both,Reactive,Both,Both,kanga
420,20240812_255,None,None,None,Both,kanga
421,20240812_271,Reactive,None,Reactive,Both,kanga
422,20240812_284,None,None,Predictive,None,kanga
423,20240812_293,Reactive,None,None,Reactive,kanga
424,20240813_8,None,None,None,Reactive,kanga
425,20240813_40,None,Reactive,None,None,kanga
426,20240813_53,None,None,Predictive,None,kanga
427,20240813_54,None,None,None,Predictive,kanga
428,20240813_55,None,Predictive,Both,Reactive,kanga
429,20240813_59,None,Predictive,Predictive,None,kanga
430,20240813_66,None,None,None,None,kanga
431,20240813_75,None,Predictive,Both,Both,kanga
432,20240813_102,None,None,None,None,kanga
433,20240813_108,None,Predictive,None,Reactive,kanga
434,20240813_121,None,None,Both,Reactive,kanga
435,20240813_131,None,None,None,Reactive,kanga
436,20240813_141,None,None,None,None,kanga
437,20240813_151,None,None,None,None,kanga
438,20240813_195,None,None,None,None,kanga
439,20240813_198,None,None,None,None,kanga
440,20240813_200,None,None,None,None,kanga
441,20240813_204,None,None,None,None,kanga
442,20240813_206,None,None,None,None,kanga
443,20240813_219,None,None,None,None,kanga
444,20240813_221,None,Predictive,None,None,kanga
445,20240813_222,None,None,None,None,kanga
446,20240813_230,None,None,Predictive,None,kanga
447,20240813_234,Predictive,Both,Both,Reactive,kanga
448,20240813_235,None,None,None,None,kanga
449,20240813_243,None,None,None,None,kanga
450,20240813_259,None,None,None,Reactive,kanga
451,20240813_261,None,Reactive,None,Reactive,kanga
452,20240813_281,None,None,None,None,kanga
453,20240813_282,None,None,None,None,kanga
454,20240814_3,None,None,None,None,kanga
455,20240814_44,Both,None,Reactive,Reactive,kanga
456,20240814_56,Reactive,None,Both,Reactive,kanga
457,20240814_70,Reactive,None,Reactive,Reactive,kanga
458,20240814_100,None,None,Reactive,Reactive,kanga
459,20240814_112,Reactive,None,Reactive,None,kanga
460,20240814_118,Reactive,None,Reactive,Reactive,kanga
461,20240814_119,None,None,None,None,kanga
462,20240814_141,None,None,None,None,kanga
463,20240814_154,Both,None,Reactive,Reactive,kanga
464,20240814_186,None,None,None,None,kanga
465,20240814_194,Reactive,None,Reactive,None,kanga
466,20240814_208,None,None,Reactive,None,kanga
467,20240814_220,None,None,Reactive,None,kanga
468,20240814_227,Both,Reactive,Reactive,Reactive,kanga
469,20240814_243,None,None,Reactive,Reactive,kanga
470,20240814_269,None,None,Reactive,Both,kanga
471,20240814_274,None,None,None,Reactive,kanga
472,20240814_283,None,None,None,None,kanga
473,20240815_5,Reactive,None,Reactive,None,kanga
474,20240815_46,None,None,None,None,kanga
475,20240815_58,Both,Reactive,Both,Reactive,kanga
476,20240815_61,Predictive,None,Reactive,Reactive,kanga
477,20240815_85,Reactive,None,Reactive,Both,kanga
478,20240815_107,None,Predictive,None,None,kanga
479,20240815_133,None,None,None,None,kanga
480,20240815_135,Reactive,None,Reactive,Reactive,kanga
481,20240815_136,None,None,None,None,kanga
482,20240815_181,None,None,Reactive,Predictive,kanga
483,20240815_238,None,None,Both,Reactive,kanga
484,20240815_267,Reactive,None,None,None,kanga
485,20240815_268,Both,Reactive,Reactive,Both,kanga
486,20240815_300,None,None,Reactive,Reactive,kanga
487,20240815_302,Reactive,Both,Reactive,Reactive,kanga
488,20240815_326,Reactive,Reactive,Reactive,Reactive,kanga
489,20240815_328,Reactive,None,None,Reactive,kanga
490,20240815_330,None,None,None,None,kanga
491,20240815_334,None,None,None,Reactive,kanga
492,20240815_336,Both,Predictive,None,Reactive,kanga
493,20240819_3,None,None,Reactive,Reactive,kanga
494,20240819_63,Both,None,Both,Both,kanga
495,20240819_82,None,None,Both,Both,kanga
496,20240819_102,None,Reactive,Reactive,None,kanga
