,dates,condition,act_animal,PC1_loading,bhv_name
0,20240531,MC,dodson,-0.3749090728774781,gaze_other_angle
1,20240531,MC,dodson,-0.032209979985048015,gaze_tube_angle
2,20240531,MC,dodson,-0.3823638499398961,gaze_lever_angle
3,20240531,MC,dodson,-0.4035664009930736,animal_animal_dist
4,20240531,MC,dodson,0.40099678169242864,animal_tube_dist
5,20240531,MC,dodson,-0.33330835948312754,animal_lever_dist
6,20240531,MC,dodson,0.38956630925927405,mass_move_speed
7,20240531,MC,dodson,0.35451792588420744,gaze_angle_speed
8,20240603_MC,MC,dodson,-0.4174234863785865,gaze_other_angle
9,20240603_MC,MC,dodson,0.36198783857402006,gaze_tube_angle
10,20240603_MC,MC,dodson,-0.2810566088514578,gaze_lever_angle
11,20240603_MC,MC,dodson,-0.4517795992650522,animal_animal_dist
12,20240603_MC,MC,dodson,0.4770719005426608,animal_tube_dist
13,20240603_MC,MC,dodson,0.27011893274916937,animal_lever_dist
14,20240603_MC,MC,dodson,0.21735683521150417,mass_move_speed
15,20240603_MC,MC,dodson,0.25262419544213205,gaze_angle_speed
16,20240604,MC,dodson,-0.4198525965357133,gaze_other_angle
17,20240604,MC,dodson,0.310110761109643,gaze_tube_angle
18,20240604,MC,dodson,-0.36444283080183354,gaze_lever_angle
19,20240604,MC,dodson,-0.39474987334056727,animal_animal_dist
20,20240604,MC,dodson,0.4246171434726767,animal_tube_dist
21,20240604,MC,dodson,0.091876377608719,animal_lever_dist
22,20240604,MC,dodson,0.37594841651017114,mass_move_speed
23,20240604,MC,dodson,0.32989524766366335,gaze_angle_speed
24,20240605_MC,MC,dodson,-0.42655333223804337,gaze_other_angle
25,20240605_MC,MC,dodson,0.30257100849690677,gaze_tube_angle
26,20240605_MC,MC,dodson,-0.37967282509063877,gaze_lever_angle
27,20240605_MC,MC,dodson,-0.44968418241226515,animal_animal_dist
28,20240605_MC,MC,dodson,0.4658390577146641,animal_tube_dist
29,20240605_MC,MC,dodson,-0.10079322284720187,animal_lever_dist
30,20240605_MC,MC,dodson,0.3564348184452652,mass_move_speed
31,20240605_MC,MC,dodson,0.16101130483655587,gaze_angle_speed
32,20240606_MC,MC,dodson,-0.455370402534293,gaze_other_angle
33,20240606_MC,MC,dodson,0.34757729659889625,gaze_tube_angle
34,20240606_MC,MC,dodson,-0.3248165192831529,gaze_lever_angle
35,20240606_MC,MC,dodson,-0.40940107471205633,animal_animal_dist
36,20240606_MC,MC,dodson,0.46193733466527614,animal_tube_dist
37,20240606_MC,MC,dodson,0.1628746185519706,animal_lever_dist
38,20240606_MC,MC,dodson,0.3574454371611811,mass_move_speed
39,20240606_MC,MC,dodson,0.1761571035658024,gaze_angle_speed
40,20240610_MC,MC,dodson,-0.45875914161881703,gaze_other_angle
41,20240610_MC,MC,dodson,0.1703128281719851,gaze_tube_angle
42,20240610_MC,MC,dodson,-0.10555801387923203,gaze_lever_angle
43,20240610_MC,MC,dodson,-0.5344524403637562,animal_animal_dist
44,20240610_MC,MC,dodson,0.5626229120952607,animal_tube_dist
45,20240610_MC,MC,dodson,0.3746133441135498,animal_lever_dist
46,20240610_MC,MC,dodson,0.043951696588348445,mass_move_speed
47,20240610_MC,MC,dodson,0.07028680388835952,gaze_angle_speed
48,20240612,MC,dodson,-0.4263771392465604,gaze_other_angle
49,20240612,MC,dodson,0.4141462525198874,gaze_tube_angle
50,20240612,MC,dodson,0.23693440505643876,gaze_lever_angle
51,20240612,MC,dodson,-0.42278644934239784,animal_animal_dist
52,20240612,MC,dodson,0.4668943978079197,animal_tube_dist
53,20240612,MC,dodson,0.4277375026222795,animal_lever_dist
54,20240612,MC,dodson,-0.07234736280027984,mass_move_speed
55,20240612,MC,dodson,0.07493485068066358,gaze_angle_speed
56,20240719,MC,dodson,-0.4002854466936528,gaze_other_angle
57,20240719,MC,dodson,-0.10930572159549119,gaze_tube_angle
58,20240719,MC,dodson,-0.3759399628457542,gaze_lever_angle
59,20240719,MC,dodson,-0.48002520223286577,animal_animal_dist
60,20240719,MC,dodson,0.4809690658663596,animal_tube_dist
61,20240719,MC,dodson,-0.15285323978330076,animal_lever_dist
62,20240719,MC,dodson,0.3364303011687446,mass_move_speed
63,20240719,MC,dodson,0.2969647574569748,gaze_angle_speed
64,20250129,MC_withGingerNew,dodson,-0.421594769514417,gaze_other_angle
65,20250129,MC_withGingerNew,dodson,0.41918281823878456,gaze_tube_angle
66,20250129,MC_withGingerNew,dodson,0.17854956907978542,gaze_lever_angle
67,20250129,MC_withGingerNew,dodson,-0.4267876859348664,animal_animal_dist
68,20250129,MC_withGingerNew,dodson,0.45891646312459344,animal_tube_dist
69,20250129,MC_withGingerNew,dodson,0.41588088842524396,animal_lever_dist
70,20250129,MC_withGingerNew,dodson,-0.194695221789487,mass_move_speed
71,20250129,MC_withGingerNew,dodson,-0.10511172558495639,gaze_angle_speed
72,20250131,MC_withGingerNew,dodson,-0.404705432761831,gaze_other_angle
73,20250131,MC_withGingerNew,dodson,0.38369593391582413,gaze_tube_angle
74,20250131,MC_withGingerNew,dodson,-0.31819463137120635,gaze_lever_angle
75,20250131,MC_withGingerNew,dodson,-0.39567292549599614,animal_animal_dist
76,20250131,MC_withGingerNew,dodson,0.41530277434192686,animal_tube_dist
77,20250131,MC_withGingerNew,dodson,0.16176828577153696,animal_lever_dist
78,20250131,MC_withGingerNew,dodson,0.35635776956238907,mass_move_speed
79,20250131,MC_withGingerNew,dodson,0.3248843224910362,gaze_angle_speed
80,20250211,MC_withKoala,dodson,-0.4057759057000071,gaze_other_angle
81,20250211,MC_withKoala,dodson,0.4093956440184221,gaze_tube_angle
82,20250211,MC_withKoala,dodson,0.26576336286788105,gaze_lever_angle
83,20250211,MC_withKoala,dodson,-0.40974146480261436,animal_animal_dist
84,20250211,MC_withKoala,dodson,0.4390937290289333,animal_tube_dist
85,20250211,MC_withKoala,dodson,0.42361706588315173,animal_lever_dist
86,20250211,MC_withKoala,dodson,-0.18541952239042406,mass_move_speed
87,20250211,MC_withKoala,dodson,-0.15029227301217432,gaze_angle_speed
