,unique_neuron,pull_encoding,gaze_encoding,juice_encoding,partner_PC1_encoding
0,20240531_18,Reactive,None,Reactive,None
1,20240531_22,None,None,None,None
2,20240531_25,Reactive,None,None,None
3,20240531_37,None,None,None,None
4,20240531_41,None,None,None,None
5,20240531_47,Reactive,None,None,None
6,20240531_52,Reactive,None,Reactive,None
7,20240531_90,Reactive,None,Reactive,None
8,20240531_94,None,None,Reactive,None
9,20240531_102,None,None,None,None
10,20240531_107,Reactive,None,None,None
11,20240531_116,None,None,None,None
12,20240603_MC_8,None,None,None,None
13,20240603_MC_25,Reactive,Reactive,Reactive,None
14,20240603_MC_28,None,None,Reactive,None
15,20240603_MC_60,None,None,Reactive,None
16,20240603_MC_92,Reactive,None,Both,None
17,20240603_MC_104,None,None,None,None
18,20240603_MC_109,Reactive,Reactive,Reactive,None
26,20240604_1,None,None,Predictive,Reactive
27,20240604_8,None,None,None,Reactive
28,20240604_9,Predictive,Predictive,Predictive,Reactive
29,20240604_21,Reactive,None,None,Reactive
30,20240604_22,None,None,Reactive,None
31,20240604_26,None,None,None,None
32,20240604_34,None,None,Predictive,None
33,20240604_55,None,None,Reactive,None
34,20240604_88,Both,None,Both,None
35,20240604_98,None,None,None,None
36,20240604_99,None,None,Reactive,None
37,20240604_103,Predictive,None,Reactive,None
38,20240604_116,None,None,None,None
39,20240604_119,Reactive,None,None,None
40,20240605_MC_0,None,None,None,None
41,20240605_MC_21,None,None,None,Reactive
42,20240605_MC_24,None,None,None,None
43,20240605_MC_69,None,None,None,Reactive
44,20240605_MC_106,Predictive,None,Predictive,Reactive
45,20240605_MC_112,None,None,None,Reactive
46,20240605_MC_117,None,None,None,None
47,20240605_MC_118,None,None,None,Reactive
48,20240605_MC_121,None,Both,Predictive,Reactive
49,20240605_MC_137,None,None,None,Reactive
50,20240605_MC_139,None,None,None,Reactive
51,20240605_MC_140,None,Predictive,Predictive,Reactive
52,20240605_MC_143,None,None,None,Reactive
66,20240606_MC_1,None,None,None,None
67,20240606_MC_4,None,None,None,None
68,20240606_MC_27,None,None,None,None
69,20240606_MC_28,None,Reactive,Reactive,None
70,20240606_MC_31,None,None,None,None
71,20240606_MC_64,Reactive,Both,Both,Reactive
72,20240606_MC_98,Reactive,None,Both,Reactive
73,20240606_MC_104,None,None,Both,None
74,20240606_MC_111,None,None,None,Reactive
75,20240606_MC_113,None,None,None,Reactive
76,20240606_MC_120,None,None,None,None
77,20240606_MC_132,None,None,None,Reactive
78,20240606_MC_134,None,None,None,Reactive
100,20240610_MC_17,Reactive,None,Both,Reactive
101,20240610_MC_49,Both,None,Both,Reactive
102,20240610_MC_102,Reactive,None,Reactive,None
103,20240610_MC_104,Reactive,None,Both,None
109,20240612_12,None,None,None,Reactive
110,20240612_16,None,Reactive,None,Reactive
111,20240612_48,Reactive,Reactive,Predictive,Reactive
112,20240612_77,None,None,None,None
113,20240612_82,None,None,None,None
114,20240612_90,None,Predictive,None,Reactive
115,20240612_91,Both,None,Reactive,Reactive
116,20240612_98,None,None,None,None
117,20240612_100,None,None,None,Reactive
128,20240719_5,Reactive,None,None,None
129,20240719_42,Reactive,None,Predictive,Reactive
130,20240719_57,None,Reactive,Both,Predictive
131,20240719_91,Reactive,None,Both,Both
132,20250129_5,Reactive,Reactive,Reactive,None
133,20250129_31,None,None,None,None
134,20250129_43,Reactive,Reactive,Reactive,Reactive
135,20250129_45,Reactive,None,None,None
136,20250129_54,None,None,Reactive,None
137,20250129_57,Predictive,Predictive,None,Both
138,20250129_64,None,None,None,None
139,20250129_72,Reactive,Reactive,None,None
140,20250129_85,Both,Both,Reactive,None
141,20250129_87,Reactive,None,Reactive,None
142,20250129_89,None,Reactive,Reactive,None
143,20250129_93,None,None,None,None
144,20250129_97,None,None,None,None
145,20250129_116,Reactive,Reactive,Predictive,Reactive
146,20250129_121,None,None,None,None
147,20250129_122,Reactive,Reactive,None,None
148,20250129_124,None,None,None,None
149,20250129_125,Reactive,Reactive,Both,Reactive
150,20250129_128,Reactive,Both,Both,None
151,20250129_132,None,None,None,None
152,20250129_145,Reactive,None,Reactive,None
153,20250129_151,Reactive,Reactive,Reactive,Both
154,20250129_158,Reactive,Reactive,None,None
155,20250129_167,None,None,Reactive,None
156,20250129_172,None,None,Reactive,Reactive
157,20250129_173,None,None,None,None
158,20250129_184,None,None,None,None
159,20250129_185,None,None,Reactive,None
160,20250129_198,None,None,Reactive,Reactive
161,20250129_205,None,None,Reactive,None
162,20250129_214,None,None,None,None
163,20250129_219,Reactive,None,Both,None
164,20250129_220,Predictive,Predictive,Reactive,Predictive
165,20250129_225,Predictive,None,Reactive,None
166,20250129_227,Reactive,Reactive,Reactive,Reactive
167,20250129_228,Reactive,Both,Both,Predictive
168,20250129_230,Predictive,Predictive,None,Both
169,20250129_248,None,None,None,None
170,20250129_251,Predictive,None,Reactive,None
171,20250129_254,Both,Both,Reactive,None
172,20250129_257,None,None,Both,None
173,20250129_289,None,None,None,None
174,20250129_291,None,None,Reactive,None
215,20250131_5,None,None,None,None
216,20250131_34,None,None,None,None
217,20250131_51,Both,Reactive,Reactive,None
218,20250131_64,Reactive,Reactive,Reactive,None
219,20250131_66,None,None,None,None
220,20250131_79,None,None,None,None
221,20250131_91,Reactive,None,Reactive,None
222,20250131_95,None,None,Reactive,None
223,20250131_118,Reactive,None,None,None
224,20250131_122,Reactive,Reactive,None,None
225,20250131_123,Both,Reactive,Reactive,None
226,20250131_129,None,None,Reactive,None
227,20250131_134,None,None,None,None
228,20250131_152,None,None,Reactive,None
229,20250131_153,Reactive,None,Reactive,None
230,20250131_155,Reactive,Both,None,None
231,20250131_173,Both,Reactive,Reactive,None
232,20250131_180,None,None,None,None
233,20250131_194,Reactive,None,None,None
234,20250131_210,Both,Reactive,Reactive,None
235,20250131_215,Reactive,Reactive,Reactive,None
236,20250131_227,Reactive,None,Both,None
237,20250131_230,None,None,Reactive,None
238,20250131_248,Reactive,Reactive,Reactive,None
239,20250131_256,None,None,Reactive,None
240,20250131_259,Reactive,Reactive,Reactive,None
241,20250131_276,Both,Reactive,Reactive,None
266,20250211_45,Reactive,Both,Reactive,Reactive
267,20250211_53,None,None,None,None
268,20250211_198,Predictive,None,None,None
269,20250211_200,Reactive,Both,Reactive,Reactive
270,20250211_207,None,None,None,None
271,20250211_209,Predictive,None,None,Predictive
272,20250211_212,None,Reactive,None,Reactive
273,20250211_250,None,None,None,Both
274,20250211_256,Reactive,Both,Reactive,Reactive
275,20250211_291,None,None,None,None
286,20250214_42,None,None,None,Both
287,20250214_49,None,None,None,Predictive
288,20250214_111,None,None,None,Reactive
289,20250214_137,Reactive,None,Both,Predictive
290,20250214_173,None,None,None,Reactive
291,20250214_190,None,None,None,None
292,20250214_201,Reactive,None,None,Both
293,20250214_230,None,None,None,Both
294,20250214_231,None,None,None,Both
306,20250218_34,Reactive,None,Reactive,None
307,20250218_36,None,Predictive,Reactive,None
308,20250218_106,Reactive,None,Both,None
309,20250218_169,Reactive,None,Reactive,Predictive
310,20250218_192,None,Reactive,None,None
311,20250218_195,Both,Predictive,Reactive,Reactive
312,20250218_207,None,Predictive,Reactive,None
313,20250218_232,Reactive,None,Reactive,None
329,20250220_41,Both,None,Reactive,None
330,20250220_52,None,None,Reactive,None
331,20250220_93,None,None,None,None
332,20250220_98,None,None,None,None
333,20250220_122,Both,None,None,Predictive
334,20250220_144,Predictive,Predictive,None,None
335,20250220_148,Predictive,None,Both,None
336,20250220_152,Reactive,Both,Reactive,Predictive
337,20250220_214,None,None,None,None
338,20250220_241,None,None,None,None
339,20250220_245,None,None,None,None
340,20250220_250,None,None,Reactive,None
341,20250220_284,Reactive,Both,None,None
342,20250220_295,None,None,None,Predictive
343,20250220_303,Reactive,None,Reactive,None
344,20250220_307,None,None,None,None
376,20250226_0,None,Reactive,None,None
377,20250226_1,None,None,None,None
378,20250226_6,None,None,None,None
379,20250226_7,Predictive,None,None,Both
380,20250226_9,Predictive,Both,None,Both
381,20250226_14,None,None,None,None
382,20250226_15,None,None,None,None
383,20250226_16,None,None,None,Predictive
384,20250226_19,None,None,None,None
385,20250226_21,None,None,None,None
386,20250226_22,None,None,None,None
387,20250226_30,None,None,None,None
388,20250226_35,None,None,None,None
389,20250226_39,Predictive,None,None,None
390,20250226_43,Reactive,None,None,Reactive
391,20250226_45,Predictive,None,None,None
392,20250226_49,None,None,None,None
393,20250226_54,Predictive,None,None,Reactive
394,20250226_56,None,None,None,None
395,20250226_58,Reactive,None,None,None
396,20250226_60,None,None,None,None
397,20250226_61,None,None,Reactive,None
398,20250226_63,None,None,None,None
399,20250226_70,None,None,None,None
400,20250226_77,None,None,None,None
401,20250226_78,None,None,None,None
402,20250226_82,None,None,None,None
403,20250226_84,Predictive,Both,Reactive,Both
404,20250226_85,Predictive,None,None,Both
405,20250226_88,Predictive,None,Reactive,Both
406,20250226_89,Predictive,Both,Predictive,Both
407,20250226_90,None,Reactive,None,Reactive
408,20250226_93,Predictive,None,None,Reactive
409,20250226_95,Predictive,None,Reactive,Reactive
410,20250226_97,None,None,None,None
411,20250226_99,None,None,None,None
412,20250226_100,None,Reactive,None,None
413,20250226_101,None,None,None,None
414,20250226_106,None,Reactive,None,None
415,20250226_108,Predictive,None,Predictive,Reactive
416,20250226_109,None,None,Reactive,Predictive
417,20250226_110,None,None,None,None
491,20250305_0,None,None,Both,Reactive
492,20250305_7,None,None,None,None
493,20250305_10,Both,Reactive,Both,Reactive
494,20250305_20,Reactive,None,Both,Reactive
495,20250305_24,Both,None,Both,Reactive
496,20250305_31,None,None,Both,None
497,20250305_32,Reactive,Predictive,Both,Predictive
498,20250305_43,None,None,None,None
499,20250305_47,Both,Both,Both,Predictive
500,20250305_64,Both,Both,Both,Reactive
501,20250305_113,Reactive,None,Reactive,None
502,20250305_132,None,None,None,None
503,20250305_141,Reactive,Predictive,Reactive,None
504,20250305_146,Reactive,None,None,None
505,20250305_154,Reactive,None,None,None
506,20250305_155,Reactive,Predictive,Both,Both
507,20250305_177,Reactive,None,Both,Both
508,20250305_226,None,None,None,None
509,20250305_244,Reactive,None,Both,None
510,20250305_249,None,None,None,None
511,20250305_256,Reactive,None,Predictive,Predictive
512,20250305_259,Reactive,Both,Both,Reactive
513,20250305_275,Both,Both,Both,Predictive
514,20250305_276,Both,Reactive,Reactive,None
515,20250305_277,Reactive,Reactive,Both,Reactive
516,20250305_281,Reactive,Predictive,Reactive,None
517,20250305_287,None,None,None,None
518,20250305_300,Reactive,None,Reactive,None
578,20250310_5,Reactive,None,Predictive,None
579,20250310_6,Reactive,Reactive,None,None
580,20250310_35,Reactive,Predictive,Reactive,None
581,20250310_48,Both,Reactive,Both,Both
582,20250310_62,None,None,None,None
583,20250310_69,Reactive,Both,Both,Predictive
584,20250310_146,Reactive,None,Reactive,None
585,20250310_156,Reactive,Both,Both,Both
586,20250310_158,Reactive,None,Both,None
587,20250310_183,Both,Reactive,Reactive,None
588,20250310_198,Reactive,Both,Reactive,None
589,20250310_239,None,None,None,None
590,20250310_252,None,None,Reactive,None
591,20250310_262,None,None,None,Predictive
592,20250310_269,Reactive,None,None,None
593,20250310_283,Reactive,None,Reactive,None
594,20250310_289,None,None,Reactive,None
595,20250310_296,Reactive,Reactive,Reactive,None
596,20250310_330,None,Reactive,Reactive,None
597,20250310_341,None,None,None,None
598,20250310_343,None,None,Reactive,None
662,20250401_0,Reactive,Both,Reactive,None
663,20250401_3,Reactive,None,Both,None
664,20250401_7,None,None,None,None
665,20250401_8,None,None,Reactive,None
666,20250401_10,None,None,None,None
667,20250401_13,None,None,None,None
668,20250401_14,Reactive,Both,Reactive,Both
669,20250401_15,None,None,None,None
670,20250401_17,Both,None,Both,Predictive
671,20250401_21,Both,Reactive,Both,Both
672,20250401_22,Reactive,None,Both,None
673,20250401_23,None,None,None,None
674,20250401_24,None,None,Reactive,None
675,20250401_25,None,None,Reactive,None
676,20250401_34,Both,Both,Both,Predictive
677,20250401_35,Both,Both,Reactive,Both
678,20250401_40,None,Reactive,None,None
679,20250401_41,Reactive,None,Reactive,None
680,20250401_42,None,None,None,None
681,20250401_44,None,None,None,None
682,20250401_46,Reactive,None,Both,Predictive
683,20250401_57,None,None,None,None
684,20250401_58,None,Reactive,None,None
685,20250401_65,Reactive,Reactive,None,None
686,20250401_68,None,None,Reactive,Reactive
687,20250401_69,None,None,None,None
688,20250401_71,None,None,None,None
689,20250401_72,Both,Reactive,Both,Both
690,20250401_73,Reactive,None,Predictive,None
691,20250401_76,Reactive,Predictive,Reactive,Predictive
692,20250401_77,Reactive,None,Both,None
693,20250401_78,Reactive,Predictive,Predictive,None
694,20250402_25,Predictive,Predictive,Both,None
695,20250402_33,Both,Both,Both,None
696,20250402_59,Reactive,Reactive,Reactive,Both
697,20250402_73,Both,None,Both,Reactive
698,20250402_83,None,Reactive,Both,None
699,20250402_87,Reactive,None,Reactive,None
700,20250402_91,Predictive,None,Both,None
701,20250402_117,None,Reactive,Both,None
702,20250402_164,Both,Reactive,Reactive,None
703,20250402_173,Reactive,Reactive,Both,Both
704,20250402_189,Both,Both,Both,None
705,20250402_207,None,Reactive,Both,None
706,20250402_267,Reactive,Reactive,Both,Both
707,20250402_282,None,Reactive,None,None
708,20250402_285,Predictive,None,Both,Predictive
709,20250402_299,None,None,None,None
710,20250402_336,Both,Both,Reactive,None
711,20250402_338,Both,Reactive,Reactive,Predictive
712,20250402_340,None,None,Reactive,None
713,20250403_2,None,None,None,Reactive
714,20250403_22,Both,None,Reactive,Reactive
715,20250403_61,Both,Predictive,Both,Both
716,20250403_69,Both,None,Both,Both
717,20250403_72,Reactive,None,Reactive,Both
718,20250403_75,None,None,Reactive,Reactive
719,20250403_98,None,None,Reactive,Reactive
720,20250403_117,Reactive,Reactive,Reactive,Reactive
721,20250403_121,Both,Both,Reactive,None
722,20250403_156,Both,Predictive,Both,Both
723,20250403_178,None,None,None,Reactive
724,20250403_188,None,None,None,Reactive
725,20250403_192,None,None,Reactive,Reactive
726,20250403_203,Predictive,None,Both,Reactive
727,20250403_205,Predictive,None,Reactive,Reactive
728,20250403_242,None,None,None,Both
729,20250403_253,None,None,None,None
730,20250403_271,None,None,Both,Reactive
731,20250403_324,None,None,None,Reactive
732,20250403_328,None,None,Reactive,Reactive
733,20250403_330,None,None,None,Reactive
804,20250409_5,None,None,None,Predictive
805,20250409_10,Reactive,None,Reactive,None
806,20250409_13,None,Reactive,None,None
807,20250409_14,Both,None,Both,None
808,20250409_17,Both,Both,Both,Both
809,20250409_19,None,Predictive,Both,None
810,20250409_22,Reactive,None,Both,Reactive
811,20250409_25,None,None,Predictive,None
812,20250409_32,None,None,None,Reactive
813,20250409_36,Reactive,Reactive,Reactive,None
814,20250409_51,Both,Reactive,Predictive,Reactive
815,20250409_73,Both,Both,Both,Both
816,20250409_80,Predictive,Both,Both,None
817,20250409_83,Reactive,None,None,None
818,20250409_85,Reactive,None,Reactive,None
819,20250409_87,Reactive,Both,Both,Both
820,20250409_88,None,Predictive,None,None
821,20250409_90,None,None,None,None
822,20250409_91,Both,Both,Both,None
823,20250409_107,Both,Both,Both,Predictive
824,20250415_0,None,None,None,None
825,20250415_8,None,None,None,None
826,20250415_9,Predictive,None,Both,None
827,20250415_12,Predictive,None,Predictive,None
828,20250415_13,Both,Predictive,Both,Both
829,20250415_15,Predictive,Predictive,Predictive,Reactive
830,20250415_19,None,None,Predictive,None
831,20250415_21,None,None,None,None
832,20250415_31,Predictive,None,None,None
833,20250415_36,None,None,None,None
834,20250415_38,Predictive,None,None,None
835,20250415_40,Predictive,None,Predictive,None
836,20250415_44,None,None,Predictive,None
837,20250415_45,Predictive,None,None,None
838,20250415_60,Both,None,Predictive,Reactive
839,20250415_69,None,None,None,None
840,20250415_70,None,None,Predictive,None
841,20250415_81,None,None,None,None
842,20250415_105,Both,Predictive,Both,Reactive
843,20250415_116,Both,Predictive,Both,Reactive
844,20250415_119,None,None,None,None
845,20250415_120,None,None,None,None
846,20250415_127,Both,Both,Both,Reactive
847,20250415_130,Predictive,None,None,None
848,20250415_140,Both,Predictive,Both,Both
849,20250415_152,None,None,None,None
850,20250417_12,Reactive,Reactive,Both,Predictive
851,20250417_15,None,None,None,None
852,20250417_21,None,None,Reactive,None
853,20250417_22,Both,Both,Both,Both
854,20250417_25,Reactive,None,Both,Predictive
855,20250417_36,Both,Reactive,Reactive,Reactive
856,20250417_60,Both,Reactive,Both,Reactive
857,20250417_65,Reactive,None,None,Reactive
858,20250417_67,None,None,None,None
859,20250417_76,None,None,None,None
860,20250417_85,None,None,None,None
861,20250417_95,Both,None,Reactive,Both
862,20250417_100,Both,Reactive,Both,Reactive
863,20250417_103,Reactive,None,Both,Both
864,20250417_105,Both,Both,Both,Both
865,20250417_112,Reactive,None,Reactive,None
866,20250417_115,None,None,None,None
867,20250417_118,None,None,Both,None
868,20250417_119,Both,Both,Both,Both
869,20250417_130,None,None,Reactive,None
870,20250417_132,Reactive,None,Both,Predictive
871,20250417_134,Predictive,None,None,None
872,20250417_136,Both,Both,None,Both
873,20250417_138,None,None,None,None
874,20250417_140,Reactive,None,Both,None
916,20250422_21,Predictive,None,Predictive,Reactive
917,20250422_23,Predictive,Both,Predictive,Both
918,20250422_135,None,None,None,Both
919,20250422_143,Predictive,Reactive,Predictive,Reactive
920,20250422_192,None,None,None,Reactive
921,20250422_215,Predictive,Both,Predictive,Both
922,20250422_270,Predictive,Both,None,Both
936,20250423_3,Reactive,Reactive,Reactive,None
937,20250423_27,Both,Both,Both,Predictive
938,20250423_30,Reactive,Reactive,Reactive,None
939,20250423_75,Both,Both,Both,None
940,20250423_81,Reactive,None,Both,None
941,20250423_239,Both,Both,Both,Predictive
942,20250423_289,Reactive,Reactive,Both,None
943,20250423_291,Reactive,Reactive,Both,None
944,20250423_293,Reactive,None,Reactive,None
945,20250423_297,Predictive,Reactive,None,None
946,20250423_299,Reactive,Reactive,Reactive,None
947,20250423_303,Both,Predictive,Both,None
948,20250423_307,None,None,None,None
958,20250424_MC_23,Both,Both,Both,Both
959,20250424_MC_80,None,None,None,None
960,20250424_MC_246,Both,Both,Both,Both
987,20250428_MC_1,Both,Predictive,Reactive,Reactive
988,20250428_MC_16,None,None,None,Reactive
989,20250428_MC_20,Reactive,None,Reactive,Reactive
990,20250428_MC_35,Both,Both,Both,Both
991,20250428_MC_144,None,None,Reactive,Both
992,20250428_MC_204,Both,Both,Both,Both
993,20250428_MC_207,Both,Both,Both,Both
994,20250428_MC_220,Both,Both,Both,Both
995,20250428_MC_252,Both,Both,Both,Both
1011,20250429_MC_28,Predictive,None,Predictive,None
1012,20250429_MC_43,Reactive,None,Both,None
1013,20250429_MC_57,None,Reactive,Both,None
1014,20250429_MC_145,None,Both,Reactive,Reactive
1015,20250429_MC_264,Reactive,None,Both,None
1016,20250429_MC_287,None,None,None,None
1017,20250429_MC_299,Both,Predictive,Both,None
1024,20250430_MC_38,None,None,None,Reactive
1025,20250430_MC_229,Both,Both,Both,Both
1026,20250430_MC_236,Both,Both,Both,Both
1027,20250430_MC_267,None,Predictive,Predictive,None
