,unique_neuron,pull_encoding,gaze_encoding,juice_encoding,partner_PC1_encoding
25,20260303_1,None,None,None,None
26,20260303_2,Reactive,None,None,None
27,20260303_5,None,None,None,None
28,20260303_6,Reactive,None,None,None
29,20260303_9,None,None,Reactive,None
30,20260303_20,None,None,None,None
31,20260303_21,None,Reactive,None,None
32,20260303_25,None,None,None,None
33,20260303_27,None,None,None,None
34,20260303_32,None,None,Reactive,None
35,20260303_33,Reactive,None,Both,Predictive
36,20260303_38,None,None,None,None
37,20260303_48,Reactive,None,None,None
38,20260303_49,None,None,Reactive,None
39,20260303_50,Reactive,None,None,None
40,20260303_51,Reactive,Reactive,None,None
41,20260303_55,None,None,None,None
42,20260303_59,None,None,None,None
43,20260303_61,None,None,None,None
44,20260303_62,None,None,None,None
45,20260303_63,None,None,None,None
68,20260304_0,None,None,None,None
69,20260304_2,None,Reactive,None,None
70,20260304_4,None,None,None,None
71,20260304_6,Reactive,None,Reactive,None
72,20260304_8,None,None,None,None
73,20260304_9,None,Reactive,Reactive,None
74,20260304_20,Reactive,Reactive,Predictive,Reactive
75,20260304_23,None,None,None,None
76,20260304_24,None,None,None,Reactive
77,20260304_26,Reactive,Reactive,Reactive,None
78,20260304_31,Reactive,None,Reactive,None
79,20260304_32,None,None,Predictive,None
80,20260304_33,Both,Reactive,Reactive,Predictive
81,20260304_37,None,None,None,None
82,20260304_38,None,None,None,None
83,20260304_49,None,None,None,None
84,20260304_51,Reactive,Reactive,Both,Reactive
85,20260304_55,None,None,Reactive,None
86,20260304_57,None,None,Reactive,Reactive
87,20260304_59,None,None,None,None
88,20260304_60,Both,None,None,Predictive
89,20260304_61,None,None,None,None
90,20260304_63,Both,Reactive,Both,Predictive
91,20260304_65,Reactive,Reactive,Both,Reactive
92,20260304_67,None,None,Reactive,None
93,20260304_69,None,None,None,None
94,20260304_71,None,None,None,None
95,20260304_75,None,None,Reactive,None
117,20260305_0,None,None,None,None
118,20260305_1,None,None,None,None
119,20260305_2,None,None,None,None
120,20260305_5,None,None,None,None
121,20260305_8,Reactive,None,Reactive,None
122,20260305_9,None,Predictive,Reactive,Both
123,20260305_10,None,None,None,Reactive
124,20260305_19,None,None,None,None
125,20260305_21,None,Reactive,None,None
126,20260305_23,Reactive,Reactive,None,None
127,20260305_30,None,None,None,None
128,20260305_31,Reactive,None,Reactive,None
129,20260305_32,Predictive,Reactive,Reactive,Predictive
130,20260305_33,None,None,None,None
131,20260305_37,None,None,None,None
132,20260305_40,None,None,Reactive,None
133,20260305_42,Reactive,Both,Reactive,Both
134,20260305_45,None,None,None,None
135,20260305_47,Reactive,Reactive,None,None
136,20260305_48,None,None,None,None
137,20260305_50,None,None,None,None
138,20260305_52,None,None,None,None
139,20260305_53,Reactive,Reactive,None,None
140,20260305_54,None,None,None,None
141,20260305_55,None,None,None,None
142,20260305_56,None,None,None,None
143,20260305_58,None,None,None,None
144,20260305_60,None,None,None,None
145,20260305_61,None,None,None,None
146,20260305_62,None,None,None,None
147,20260305_63,Reactive,Predictive,Both,Both
148,20260309_2,None,None,Reactive,None
149,20260309_6,None,None,None,None
150,20260309_9,None,None,None,None
151,20260309_12,None,None,None,None
152,20260309_14,None,None,None,None
153,20260309_17,None,None,None,None
154,20260309_22,None,None,None,None
155,20260309_35,Reactive,None,Reactive,None
156,20260309_38,None,None,None,None
157,20260309_41,None,None,None,None
158,20260309_42,None,None,None,None
159,20260309_45,None,None,None,None
160,20260309_53,None,None,None,None
161,20260309_54,Reactive,None,Reactive,None
162,20260309_57,None,None,None,None
163,20260309_60,None,None,None,None
164,20260309_64,None,None,None,None
165,20260309_72,None,None,Reactive,None
189,20260310_11,None,None,None,Reactive
190,20260310_84,Predictive,Both,Reactive,None
191,20260310_95,None,None,None,None
192,20260310_109,None,None,None,None
193,20260310_129,None,None,None,None
194,20260310_160,None,None,None,None
195,20260310_167,None,None,None,Reactive
196,20260310_193,Reactive,None,None,None
212,20260311_0,None,None,None,None
213,20260311_5,None,None,None,None
214,20260311_16,None,None,None,None
215,20260311_17,None,None,None,None
216,20260311_18,None,None,None,None
217,20260311_22,None,None,None,None
218,20260311_23,None,None,Reactive,None
219,20260311_28,None,None,None,None
220,20260311_29,Reactive,None,None,None
221,20260311_31,None,None,None,None
222,20260311_34,None,None,None,None
223,20260311_35,None,None,None,None
234,20260312_24,Reactive,Reactive,Reactive,None
235,20260312_75,Reactive,None,Both,Both
236,20260312_78,None,Reactive,None,None
237,20260312_82,None,None,None,None
238,20260312_88,Predictive,None,Reactive,None
239,20260312_95,None,None,None,None
240,20260312_97,None,None,None,None
241,20260312_105,Reactive,Both,Reactive,None
242,20260312_135,Both,Both,Both,Both
243,20260312_137,Reactive,None,Both,None
251,20260313_3,None,None,Both,None
252,20260313_11,None,None,Reactive,None
253,20260313_12,Reactive,None,Reactive,None
254,20260313_24,None,None,None,None
255,20260313_32,None,None,None,None
256,20260313_41,None,None,None,None
257,20260313_43,None,None,None,None
258,20260313_45,None,None,None,None
259,20260313_55,None,None,None,None
260,20260313_56,None,None,None,None
268,20260317_1,None,None,None,None
