,unique_neuron,pull_encoding,gaze_encoding,juice_encoding,partner_PC1_encoding
20,20240509_300,Reactive,Reactive,Reactive,Both
21,20240509_302,Both,Reactive,Both,Reactive
22,20240509_304,Reactive,Reactive,Reactive,Both
23,20240509_314,Reactive,None,None,Both
24,20240509_324,Predictive,Reactive,None,Reactive
25,20240509_327,None,None,None,Reactive
26,20240509_334,None,None,None,Reactive
27,20240509_336,None,None,None,None
28,20240509_341,None,None,Predictive,Reactive
29,20240509_343,None,None,Reactive,Reactive
30,20240509_349,Predictive,Predictive,Predictive,Reactive
31,20240509_350,None,None,None,Reactive
32,20240509_352,None,None,None,None
33,20240509_354,None,None,None,None
34,20240513_56,Reactive,None,None,Reactive
35,20240513_95,None,None,None,Both
36,20240513_141,None,Reactive,Predictive,Both
37,20240513_142,None,None,None,Both
38,20240513_251,None,None,None,Reactive
39,20240513_262,None,None,None,Both
40,20240513_285,None,None,None,Both
41,20240513_328,None,Reactive,None,Both
42,20240513_340,None,None,None,Both
43,20240513_342,None,None,Both,Both
44,20240513_344,Both,Predictive,Reactive,Both
45,20240513_346,Reactive,None,None,None
46,20240513_348,None,None,None,None
47,20240513_350,None,Predictive,None,Reactive
48,20240513_352,Predictive,Both,Predictive,Both
49,20240513_354,None,None,None,None
50,20240513_356,None,None,None,Reactive
67,20240523_375,Reactive,Reactive,Both,Reactive
68,20240523_377,Reactive,Reactive,Both,None
69,20240523_379,Reactive,None,Reactive,None
70,20240523_381,Reactive,Reactive,Reactive,None
71,20240523_387,Reactive,Reactive,Reactive,None
72,20240523_390,Reactive,None,None,None
73,20240523_392,Reactive,Reactive,Reactive,None
74,20240523_394,Both,Reactive,Both,Reactive
75,20240523_396,Reactive,None,Reactive,None
76,20240523_398,Reactive,Reactive,Reactive,None
77,20240523_400,Reactive,None,Reactive,None
78,20240523_402,Reactive,Reactive,Both,Predictive
79,20240523_404,None,None,None,None
80,20240523_410,None,None,None,Reactive
101,20240606_138,Both,Both,None,Both
102,20240606_226,None,None,Both,Reactive
103,20240606_292,None,Both,Reactive,Reactive
104,20240606_306,Both,Both,None,Both
105,20240606_307,Both,Both,Reactive,Both
106,20240606_309,Reactive,Reactive,Predictive,Both
107,20240606_311,Both,Both,Reactive,Both
108,20240606_313,None,None,None,Reactive
109,20240606_315,None,Predictive,Both,Both
110,20240606_319,None,Reactive,Predictive,Both
111,20240606_321,None,Predictive,None,Both
112,20240606_323,None,None,None,Reactive
113,20240606_325,None,None,Both,Both
114,20240606_327,Reactive,None,Predictive,Both
115,20240606_329,None,None,None,Reactive
116,20240606_331,None,None,None,Reactive
117,20240606_333,None,Predictive,None,Reactive
118,20240606_335,None,None,None,Reactive
119,20240606_337,None,None,None,None
120,20240606_339,None,None,None,Reactive
121,20240606_341,None,None,None,Reactive
122,20240606_343,None,None,None,Reactive
123,20240606_345,None,None,None,Reactive
124,20240606_347,Predictive,None,None,Reactive
125,20240606_349,None,None,None,Reactive
126,20240606_351,None,None,None,None
353,20240808_8,None,None,Reactive,Reactive
354,20240808_48,None,None,None,Reactive
