,unique_neuron,pull_encoding,gaze_encoding,juice_encoding,partner_PC1_encoding
0,20260309_1,None,None,None,None
1,20260309_6,None,Reactive,None,None
2,20260309_7,Reactive,None,None,None
3,20260309_9,Reactive,None,None,None
4,20260309_14,Reactive,None,Reactive,None
5,20260309_15,None,None,None,None
6,20260309_18,Reactive,None,None,None
7,20260309_21,None,None,None,None
8,20260309_28,Reactive,None,None,None
9,20260309_45,None,Reactive,Both,None
10,20260309_46,Reactive,None,Reactive,None
11,20260309_62,Reactive,None,None,None
12,20260309_64,None,None,Reactive,None
13,20260309_67,None,None,Reactive,None
14,20260309_68,None,None,None,None
15,20260309_76,None,Reactive,None,None
16,20260309_82,Reactive,Reactive,Both,None
17,20260309_83,Reactive,Reactive,Reactive,None
18,20260309_97,Reactive,None,None,None
19,20260309_102,Reactive,None,None,None
20,20260309_111,None,None,None,None
21,20260309_117,Reactive,None,Both,None
22,20260309_122,Reactive,Reactive,Both,Reactive
23,20260309_123,Reactive,None,None,None
24,20260309_128,None,None,Reactive,None
25,20260309_129,None,None,None,None
26,20260309_138,Reactive,None,Reactive,None
65,20260310_3,Reactive,Reactive,Reactive,None
66,20260310_5,Reactive,Reactive,Reactive,None
67,20260310_8,Reactive,Reactive,None,None
68,20260310_10,None,None,Reactive,None
69,20260310_16,Reactive,None,None,None
70,20260310_17,Reactive,Predictive,Reactive,None
71,20260310_20,None,None,Reactive,None
72,20260310_27,Reactive,None,None,None
73,20260310_34,None,None,Reactive,None
74,20260310_63,None,None,None,None
75,20260310_65,None,None,None,None
76,20260310_76,None,Reactive,None,None
77,20260310_80,Reactive,None,Both,None
78,20260310_81,Reactive,Reactive,Reactive,None
79,20260310_84,None,None,None,None
80,20260310_85,Reactive,Reactive,Reactive,None
81,20260310_96,Reactive,Reactive,Reactive,None
82,20260310_102,Reactive,Reactive,Reactive,None
83,20260310_108,None,None,Predictive,None
84,20260310_110,None,None,None,None
85,20260310_115,Reactive,None,Predictive,None
86,20260310_123,None,Reactive,Reactive,None
87,20260310_129,None,Reactive,Reactive,None
88,20260310_131,Reactive,None,Both,None
89,20260310_135,None,None,None,None
90,20260310_137,Reactive,Reactive,None,None
126,20260311_4,None,None,Reactive,None
127,20260311_6,None,None,None,None
128,20260311_9,None,None,None,Predictive
129,20260311_11,None,None,None,None
130,20260311_12,None,None,Reactive,None
131,20260311_13,None,None,None,None
132,20260311_20,None,None,None,None
133,20260311_22,None,None,None,None
134,20260311_25,Reactive,None,None,None
135,20260311_26,Reactive,None,None,None
136,20260311_29,None,None,None,None
137,20260311_38,None,None,None,None
138,20260311_41,None,None,None,None
139,20260311_57,None,None,None,None
140,20260311_60,None,None,None,None
141,20260311_65,None,None,Reactive,None
142,20260311_73,None,None,None,None
143,20260311_76,None,None,None,None
144,20260311_77,None,None,None,None
145,20260311_78,None,None,None,None
146,20260311_94,None,None,Reactive,None
147,20260311_99,None,None,None,None
148,20260311_104,None,None,None,None
149,20260311_105,None,None,None,None
150,20260311_106,None,None,None,None
151,20260311_111,None,None,Reactive,None
152,20260311_114,None,None,None,None
153,20260311_118,None,Predictive,None,None
154,20260311_128,None,None,None,None
155,20260311_131,Reactive,None,None,None
156,20260311_132,None,None,Predictive,None
157,20260311_134,None,None,None,Predictive
158,20260311_136,None,None,None,None
192,20260312_1,None,None,None,None
193,20260312_9,None,None,None,None
194,20260312_10,Reactive,None,None,None
195,20260312_16,Reactive,None,Reactive,None
196,20260312_23,Reactive,None,Reactive,None
197,20260312_28,Reactive,Reactive,None,None
198,20260312_48,None,None,None,None
199,20260312_54,Reactive,Predictive,Reactive,Reactive
200,20260312_67,None,None,None,None
201,20260312_75,None,None,None,None
202,20260312_78,None,None,None,None
203,20260312_80,Reactive,Reactive,Reactive,Reactive
204,20260312_84,None,None,None,None
205,20260312_86,None,None,None,None
206,20260312_92,None,None,None,None
207,20260312_96,Reactive,None,None,None
208,20260312_97,None,None,None,None
209,20260312_115,None,Reactive,None,None
210,20260312_119,None,Reactive,None,None
211,20260312_133,None,None,None,None
212,20260312_134,None,None,None,None
213,20260312_139,None,None,None,None
214,20260312_140,None,None,None,None
215,20260312_144,None,None,None,None
216,20260312_146,None,None,Reactive,None
217,20260312_148,None,Reactive,None,None
218,20260312_159,Reactive,Reactive,None,None
219,20260312_163,Reactive,None,None,None
220,20260312_173,None,Reactive,None,None
221,20260312_174,None,Predictive,Reactive,Reactive
222,20260312_176,None,Reactive,None,None
261,20260313_5,None,None,Reactive,None
262,20260313_6,Reactive,None,Reactive,None
263,20260313_7,Reactive,None,Reactive,None
264,20260313_10,None,None,None,None
265,20260313_14,None,None,None,None
266,20260313_19,None,None,None,None
267,20260313_20,Reactive,Reactive,Reactive,None
268,20260313_24,None,None,Reactive,None
269,20260313_28,Reactive,Reactive,Reactive,None
270,20260313_31,None,None,None,None
271,20260313_45,None,None,None,None
272,20260313_48,None,None,None,None
273,20260313_52,None,None,None,None
274,20260313_55,Reactive,None,Reactive,None
275,20260313_56,Reactive,Reactive,Reactive,None
276,20260313_57,None,None,Reactive,None
277,20260313_62,None,None,None,None
278,20260313_63,None,None,None,None
279,20260313_67,None,None,Reactive,None
280,20260313_68,None,Reactive,None,None
281,20260313_72,None,None,None,None
282,20260313_87,Reactive,None,None,None
283,20260313_98,None,None,Reactive,None
284,20260313_103,None,None,Reactive,None
285,20260313_107,Reactive,None,Reactive,None
286,20260313_114,None,None,Reactive,None
287,20260313_117,Reactive,Reactive,Reactive,None
288,20260313_121,None,None,None,None
289,20260313_128,None,None,Reactive,None
290,20260313_129,Reactive,None,None,None
291,20260313_130,None,None,None,None
292,20260313_132,None,None,None,None
323,20260317_2,None,None,Reactive,None
324,20260317_4,None,None,Reactive,None
325,20260317_6,None,None,Reactive,None
326,20260317_7,Reactive,None,Reactive,None
327,20260317_9,None,Predictive,Reactive,None
328,20260317_14,None,None,None,None
329,20260317_16,None,None,None,None
330,20260317_24,Reactive,None,Reactive,None
331,20260317_39,None,None,Reactive,None
332,20260317_52,None,None,None,None
333,20260317_54,None,None,Reactive,None
334,20260317_60,Reactive,None,Reactive,None
335,20260317_63,None,None,None,None
336,20260317_73,Reactive,Reactive,Reactive,None
337,20260317_87,None,None,None,None
338,20260317_89,None,None,None,None
339,20260317_98,None,None,Reactive,None
340,20260317_99,None,None,None,None
341,20260317_105,None,None,None,None
342,20260317_106,None,None,None,None
343,20260317_108,None,None,None,None
344,20260317_111,None,Reactive,Reactive,None
345,20260317_119,None,None,None,None
346,20260317_121,Reactive,Reactive,Reactive,None
347,20260317_125,None,None,None,None
348,20260317_127,Reactive,None,None,None
349,20260317_128,None,None,Reactive,None
381,20260318_0,None,Reactive,Reactive,None
382,20260318_1,None,None,None,None
383,20260318_3,None,None,Reactive,None
384,20260318_5,Reactive,None,Reactive,None
385,20260318_8,Reactive,None,Reactive,None
386,20260318_14,None,None,None,None
387,20260318_18,None,None,None,None
388,20260318_22,None,None,None,None
389,20260318_36,None,None,None,None
390,20260318_55,None,None,None,None
391,20260318_62,None,None,None,None
392,20260318_63,None,None,None,None
393,20260318_66,Reactive,None,None,None
394,20260318_68,None,None,None,None
395,20260318_70,None,None,None,None
396,20260318_75,None,None,None,None
397,20260318_101,None,None,None,None
398,20260318_105,None,None,None,None
399,20260318_108,None,None,Reactive,None
400,20260318_124,None,None,None,None
401,20260318_127,None,Reactive,Reactive,None
402,20260318_129,None,None,Reactive,None
403,20260318_131,Reactive,None,None,None
404,20260318_133,Reactive,None,Reactive,Both
435,20260319_0,None,None,None,None
436,20260319_5,None,None,None,None
437,20260319_17,None,None,None,None
438,20260319_23,None,None,None,None
439,20260319_36,None,None,None,None
440,20260319_55,None,Reactive,None,None
441,20260319_59,None,None,None,None
442,20260319_67,None,None,Reactive,None
443,20260319_72,Reactive,Reactive,Reactive,None
444,20260319_95,None,None,None,None
445,20260319_101,None,None,None,None
446,20260319_104,None,None,None,None
447,20260319_111,None,None,None,None
448,20260319_113,None,None,None,None
449,20260319_117,Reactive,Reactive,Reactive,None
450,20260319_118,Reactive,Reactive,Reactive,None
451,20260319_119,None,None,None,None
452,20260319_120,Reactive,Reactive,Predictive,None
453,20260319_122,None,None,None,None
479,20260323_2,None,None,None,None
480,20260323_18,None,None,None,None
481,20260323_35,None,None,Reactive,None
482,20260323_47,None,None,None,None
483,20260323_54,None,None,None,None
484,20260323_82,Reactive,Both,Both,Predictive
485,20260323_90,None,None,None,None
486,20260323_94,None,None,None,None
487,20260323_97,None,None,None,None
488,20260323_104,Reactive,Both,Both,Predictive
489,20260323_108,None,None,None,None
490,20260323_112,None,None,None,None
491,20260323_114,None,None,None,None
513,20260324_5,Reactive,None,None,None
514,20260324_13,None,None,None,None
515,20260324_22,None,None,Reactive,None
516,20260324_32,Both,Reactive,Both,None
517,20260324_35,Reactive,None,None,None
518,20260324_38,Reactive,None,None,None
519,20260324_47,Both,None,Both,Reactive
520,20260324_55,Reactive,Reactive,Reactive,None
521,20260324_57,None,None,Reactive,None
522,20260324_59,Reactive,None,None,None
523,20260324_66,Reactive,None,None,None
524,20260324_88,None,None,None,None
525,20260324_91,None,None,None,None
526,20260324_93,Reactive,None,None,None
527,20260324_95,Reactive,None,None,None
528,20260324_106,None,None,None,None
529,20260324_111,None,None,Reactive,None
530,20260324_117,None,None,Reactive,None
531,20260324_118,None,None,Reactive,None
550,20260326_7,Reactive,None,None,None
551,20260326_13,Reactive,Both,Both,Reactive
552,20260326_21,None,None,None,None
553,20260326_42,Reactive,Reactive,Reactive,None
554,20260326_79,None,None,None,None
555,20260326_99,Reactive,None,Reactive,Reactive
556,20260326_105,None,None,None,None
557,20260326_110,None,None,None,None
558,20260326_112,Reactive,None,None,None
559,20260326_113,None,None,None,None
560,20260326_117,None,None,None,None
