animal1_on_to_pull,animal2_on_to_pull,animal1_pull_to_off,animal2_pull_to_off
0.621894,0.480704,0.378106,0.519296
0.381204,0.320025,0.352796,0.412975
0.27137,0.122155,0.46163,0.677845
0.397196,0.31171,0.602804,0.52229
0.421033,0.246938,0.545967,0.686062
0.456257,0.369567,0.409743,1.063433
0.463652,0.121566,0.269348,1.045434
0.215437,0.456504,0.484563,1.043496
0.318876,0.313128,0.248124,0.920872
0.342802,0.167332,0.691198,0.899668
0.482854,0.485534,0.284146,0.414466
0.406053,0.341966,0.493947,1.425034
0.475755,0.598542,0.758245,0.701458
0.344846,0.372532,0.922154,0.993468
0.264043,0.593035,0.801957,0.839965
0.450079,0.46209,0.683921,0.57091
0.390358,0.582796,0.209642,0.984204
0.380487,0.673047,0.519513,0.893953
0.354802,0.362614,0.512198,1.004386
0.339701,0.281601,0.693299,1.152399
0.330774,0.104316,0.602226,0.228684
0.421269,0.456611,0.611731,0.743389
0.457669,0.113075,0.675331,0.919925
0.431629,0.121885,0.768371,0.844115
0.389775,0.608058,0.576225,1.091942
0.380179,0.181241,0.519821,0.785759
0.470184,0.155854,0.763816,1.277146
0.426557,0.046612,0.773443,0.653388
0.402433,0.203719,0.731567,1.296281
0.410207,0.159427,0.589793,1.107573
0.421133,0.096771,0.511867,1.403229
0.20728,0.302205,0.52672,0.863795
0.332634,0.293494,0.867366,0.773506
0.33912,0.321031,0.69488,0.911969
0.34199,0.123968,0.29101,0.843032
0.38163,0.430841,0.35137,0.903159
0.355276,0.489668,0.678724,1.244332
0.445117,0.176303,0.654883,1.123697
0.355581,0.214818,0.678419,1.351182
0.522197,0.488822,0.744803,1.377178
0.33011,0.128435,0.70289,1.071565
0.222878,0.038606,0.844122,1.461394
0.392859,0.221455,0.940141,0.678545
0.368739,0.530347,0.565261,0.769653
0.460633,0.372249,0.939367,1.293751
0.367309,0.294106,0.732691,1.305894
0.424916,0.751578,0.641084,1.348422
0.189295,0.259624,0.510705,1.440376
0.390389,0.217161,0.542611,1.115839
0.313132,0.325394,0.619868,1.341606
0.388872,0.321748,0.544128,0.944252
0.411547,0.389769,0.721453,1.110231
0.335598,0.280314,0.464402,1.285686
0.422194,0.306128,0.477806,1.160872
,0.079329,414.267,1.354671
,0.803542,438.7,1.529458
